posteam,passmedium+,passscreen,passshort,run,sack,season,RZPct
ARI,16.149068322981368,9.937888198757763,19.25465838509317,52.79503105590062,1.8633540372670807,2021,0.6
ATL,9.836065573770492,8.19672131147541,31.967213114754102,46.72131147540984,3.278688524590164,2021,0.537
BAL,14.743589743589745,5.769230769230769,29.48717948717949,45.51282051282051,4.487179487179487,2021,0.618
BUF,21.052631578947366,10.526315789473683,21.052631578947366,45.45454545454545,1.9138755980861244,2021,0.623
CAR,9.00900900900901,11.711711711711711,17.117117117117118,60.36036036036037,1.8018018018018018,2021,0.532
CHI,16.911764705882355,4.411764705882353,19.11764705882353,53.67647058823529,5.88235294117647,2021,0.479
CIN,17.36111111111111,6.944444444444445,25.0,43.75,6.944444444444445,2021,0.596
CLE,7.194244604316546,4.316546762589928,25.179856115107913,57.55395683453237,5.755395683453238,2021,0.62
DAL,18.354430379746837,8.227848101265822,27.848101265822784,42.405063291139236,3.1645569620253164,2021,0.631
DEN,8.47457627118644,7.627118644067797,27.11864406779661,54.23728813559322,2.5423728813559325,2021,0.547
DET,13.333333333333334,5.555555555555555,32.22222222222222,47.77777777777778,1.1111111111111112,2021,0.467
GB,15.566037735849056,13.20754716981132,27.830188679245282,41.509433962264154,1.8867924528301887,2021,0.586
HOU,11.702127659574469,8.51063829787234,21.27659574468085,52.12765957446809,6.382978723404255,2021,0.514
IND,12.5,6.578947368421052,17.763157894736842,58.55263157894737,4.605263157894736,2021,0.563
JAX,9.574468085106384,4.25531914893617,27.659574468085108,56.38297872340425,2.127659574468085,2021,0.513
KC,10.65989847715736,17.766497461928935,28.426395939086298,39.08629441624365,4.060913705583756,2021,0.594
LA,17.616580310880828,7.772020725388601,30.05181347150259,41.45077720207254,3.1088082901554404,2021,0.6
LAC,11.979166666666668,7.291666666666667,31.770833333333332,45.83333333333333,3.125,2021,0.64
LV,13.939393939393941,9.090909090909092,27.878787878787882,46.06060606060606,3.0303030303030303,2021,0.517
MIA,13.076923076923078,10.0,27.692307692307693,48.46153846153846,0.7692307692307693,2021,0.612
MIN,15.432098765432098,6.172839506172839,24.691358024691358,51.85185185185185,1.8518518518518516,2021,0.623
NE,9.774436090225564,11.278195488721805,20.30075187969925,57.14285714285714,1.5037593984962405,2021,0.619
NO,16.27906976744186,7.751937984496124,21.705426356589147,51.93798449612403,2.3255813953488373,2021,0.589
NYG,15.66265060240964,4.819277108433735,24.096385542168676,51.80722891566265,3.614457831325301,2021,0.447
NYJ,9.00900900900901,10.81081081081081,21.62162162162162,53.153153153153156,5.405405405405405,2021,0.5489999999999999
PHI,13.571428571428571,7.857142857142857,16.428571428571427,60.0,2.142857142857143,2021,0.623
PIT,11.504424778761061,7.964601769911504,44.24778761061947,33.6283185840708,2.6548672566371683,2021,0.54
SEA,20.175438596491226,6.140350877192982,20.175438596491226,50.0,3.508771929824561,2021,0.6459999999999999
SF,12.844036697247708,9.174311926605505,18.34862385321101,58.71559633027523,0.9174311926605505,2021,0.667
TB,11.11111111111111,14.814814814814813,34.39153439153439,37.56613756613756,2.1164021164021163,2021,0.662
TEN,14.193548387096774,9.032258064516128,20.64516129032258,51.61290322580645,4.516129032258064,2021,0.639
WAS,13.821138211382115,7.317073170731707,17.88617886178862,59.34959349593496,1.6260162601626018,2021,0.51
ARI,7.751937984496124,10.852713178294573,27.131782945736433,52.71317829457365,1.550387596899225,2022,0.568
ATL,6.122448979591836,3.4013605442176873,21.768707482993197,66.66666666666666,2.0408163265306123,2022,0.556
BAL,12.716763005780345,8.670520231213873,21.965317919075144,54.33526011560693,2.312138728323699,2022,0.45799999999999996
BUF,23.076923076923077,3.5502958579881656,22.485207100591715,47.928994082840234,2.9585798816568047,2022,0.603
CAR,12.389380530973451,6.1946902654867255,13.274336283185843,63.716814159292035,4.424778761061947,2022,0.565
CHI,11.206896551724139,6.0344827586206895,12.068965517241379,68.10344827586206,2.586206896551724,2022,0.56
CIN,16.292134831460675,11.235955056179774,27.52808988764045,43.82022471910113,1.1235955056179776,2022,0.649
CLE,18.79194630872483,4.026845637583892,24.161073825503358,49.664429530201346,3.3557046979865772,2022,0.536
DAL,16.149068322981368,8.074534161490684,24.84472049689441,48.4472049689441,2.484472049689441,2022,0.7140000000000001
DEN,23.809523809523807,7.142857142857142,20.238095238095237,47.61904761904761,1.1904761904761905,2022,0.556
DET,6.622516556291391,6.622516556291391,29.80132450331126,55.62913907284768,1.3245033112582782,2022,0.662
GB,16.312056737588655,16.312056737588655,21.98581560283688,42.5531914893617,2.8368794326241136,2022,0.519
HOU,18.69158878504673,4.672897196261682,18.69158878504673,51.4018691588785,6.5420560747663545,2022,0.479
IND,13.934426229508196,8.19672131147541,18.0327868852459,54.09836065573771,5.737704918032787,2022,0.45799999999999996
JAX,19.736842105263158,5.921052631578947,22.36842105263158,51.31578947368421,0.6578947368421052,2022,0.534
KC,12.442396313364055,13.82488479262673,27.64976958525346,44.23963133640553,1.8433179723502304,2022,0.6940000000000001
LA,9.090909090909092,9.090909090909092,33.33333333333333,44.44444444444444,4.040404040404041,2022,0.556
LAC,13.586956521739129,13.586956521739129,25.543478260869566,44.02173913043478,3.260869565217391,2022,0.532
LV,19.491525423728813,5.084745762711865,28.8135593220339,46.61016949152542,0.0,2022,0.479
MIA,15.789473684210526,7.017543859649122,25.438596491228072,46.49122807017544,5.263157894736842,2022,0.6
MIN,15.11627906976744,9.30232558139535,32.55813953488372,40.116279069767444,2.9069767441860463,2022,0.625
