posteam,passmedium+,passscreen,passshort,run,sack,season,RZPct
NE,10.0,11.818181818181818,20.909090909090907,53.63636363636364,3.6363636363636362,2022,0.42200000000000004
NO,15.833333333333332,9.166666666666666,20.833333333333336,50.0,4.166666666666666,2022,0.521
NYG,4.504504504504505,5.405405405405405,24.324324324324326,63.06306306306306,2.7027027027027026,2022,0.633
NYJ,17.21311475409836,9.01639344262295,16.39344262295082,51.63934426229508,5.737704918032787,2022,0.435
PHI,5.670103092783505,4.123711340206185,19.072164948453608,68.55670103092784,2.5773195876288657,2022,0.6779999999999999
PIT,11.029411764705882,6.61764705882353,21.323529411764707,56.61764705882353,4.411764705882353,2022,0.519
SEA,25.34246575342466,4.794520547945205,17.123287671232877,47.26027397260274,5.47945205479452,2022,0.473
SF,6.077348066298343,12.70718232044199,19.337016574585636,56.9060773480663,4.972375690607735,2022,0.54
TB,13.47517730496454,17.73049645390071,35.46099290780142,31.20567375886525,2.127659574468085,2022,0.52
TEN,15.53398058252427,4.854368932038835,31.06796116504854,45.63106796116505,2.912621359223301,2022,0.643
WAS,14.285714285714285,4.511278195488721,22.55639097744361,54.88721804511278,3.7593984962406015,2022,0.511
ARI,9.090909090909092,4.040404040404041,22.22222222222222,61.61616161616161,3.0303030303030303,2023,0.614
ATL,7.936507936507936,7.936507936507936,16.666666666666664,64.28571428571429,3.1746031746031744,2023,0.46799999999999997
BAL,11.515151515151516,7.2727272727272725,15.757575757575756,62.42424242424243,3.0303030303030303,2023,0.618
BUF,12.568306010928962,6.557377049180328,16.939890710382514,61.20218579234973,2.73224043715847,2023,0.631
CAR,3.1578947368421053,4.2105263157894735,22.105263157894736,61.05263157894737,9.473684210526317,2023,0.5
CHI,13.0,7.000000000000001,15.0,59.0,6.0,2023,0.5710000000000001
CIN,10.95890410958904,12.32876712328767,24.65753424657534,50.0,2.054794520547945,2023,0.596
CLE,13.333333333333334,5.9259259259259265,25.925925925925924,52.59259259259259,2.2222222222222223,2023,0.56
DAL,17.61006289308176,7.547169811320755,22.0125786163522,49.056603773584904,3.7735849056603774,2023,0.563
DEN,18.11023622047244,10.236220472440944,14.960629921259844,50.39370078740157,6.299212598425196,2023,0.517
DET,10.106382978723403,10.106382978723403,19.680851063829788,59.04255319148937,1.0638297872340425,2023,0.6409999999999999
GB,17.391304347826086,9.239130434782608,19.021739130434785,50.0,4.3478260869565215,2023,0.516
HOU,16.901408450704224,5.633802816901409,21.830985915492956,54.22535211267606,1.4084507042253522,2023,0.547
IND,7.8431372549019605,5.228758169934641,21.568627450980394,61.43790849673203,3.9215686274509802,2023,0.491
JAX,20.5607476635514,6.5420560747663545,14.018691588785046,53.271028037383175,5.607476635514018,2023,0.5
KC,11.6751269035533,17.258883248730964,23.85786802030457,43.65482233502538,3.5532994923857872,2023,0.541
LA,14.19753086419753,9.876543209876543,19.753086419753085,54.32098765432099,1.8518518518518516,2023,0.636
LAC,16.551724137931036,8.96551724137931,22.758620689655174,47.58620689655172,4.137931034482759,2023,0.574
LV,6.666666666666667,10.476190476190476,26.666666666666668,55.23809523809524,0.9523809523809524,2023,0.489
MIA,4.098360655737705,15.573770491803279,20.491803278688526,56.557377049180324,3.278688524590164,2023,0.655
MIN,15.079365079365079,11.11111111111111,30.158730158730158,40.476190476190474,3.1746031746031744,2023,0.47100000000000003
NE,17.857142857142858,13.095238095238097,13.095238095238097,52.38095238095239,3.571428571428571,2023,0.583
NO,13.380281690140844,4.929577464788732,19.718309859154928,59.859154929577464,2.112676056338028,2023,0.5329999999999999
NYG,7.59493670886076,2.5316455696202533,12.658227848101266,73.41772151898735,3.79746835443038,2023,0.442
NYJ,9.333333333333334,5.333333333333334,29.333333333333332,48.0,8.0,2023,0.324
PHI,8.49673202614379,6.535947712418301,13.725490196078432,67.97385620915033,3.2679738562091507,2023,0.6
PIT,9.900990099009901,5.9405940594059405,9.900990099009901,72.27722772277228,1.9801980198019802,2023,0.47600000000000003
SEA,20.0,4.8,16.8,54.400000000000006,4.0,2023,0.48100000000000004
SF,10.059171597633137,6.508875739644971,17.159763313609467,63.31360946745562,2.9585798816568047,2023,0.672
TB,15.833333333333332,10.0,25.833333333333336,42.5,5.833333333333333,2023,0.449
TEN,15.841584158415841,5.9405940594059405,18.81188118811881,51.48514851485149,7.920792079207921,2023,0.479
WAS,10.1010101010101,7.07070707070707,31.313131313131315,50.505050505050505,1.0101010101010102,2023,0.633
